# Name: Histogram_1
# Instrument: CNCS
# Ei: 2.7
# Binning: 
# 	[H,H,0]: 75 bins from 0.0 to 0.75, step 0.01
# 	DeltaE: 72 bins from 0.2 to 2.0, step 0.025
# 	[0,0,L]: 1 bins from -3.05 to -2.95
# 	[H,-H,0]: 1 bins from -0.1 to 0.1
# UnitCell:
# 	Lattice parameters: a = 5.71082 b = 5.70969 c = 21.4314 alpha = 90.0249 beta = 89.9439 gamma = 119.988
# 	Orientation u:[0.76409,0.91221,20.4881]	v:[2.70519,2.75431,-6.28141]
# Intensity Error [H,H,0] DeltaE [0,0,L] [H,-H,0]
#  shape: 75x72x1x1
nan nan 3.500000e-02 2.875000e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 3.125000e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 3.375000e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 3.624999e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 3.874999e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 4.124999e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 4.374999e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 4.624999e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 4.874999e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 5.124999e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 5.374999e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 5.624999e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 5.874999e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 6.124999e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 6.374998e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 6.624998e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 6.874998e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 7.124998e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 7.374998e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 7.624998e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 7.874998e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 8.124998e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 8.374998e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 8.624998e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 8.874998e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 9.124997e-01 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 3.500000e-02 9.374997e-01 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 3.500000e-02 9.624997e-01 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 3.500000e-02 9.874997e-01 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 3.500000e-02 1.012500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 3.500000e-02 1.037500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 3.500000e-02 1.062500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 3.500000e-02 1.087500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 3.500000e-02 1.112500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 3.500000e-02 1.137500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 3.500000e-02 1.162500e+00 -3.000000e+00 0.000000e+00
3.098850e-04 1.789122e-04 3.500000e-02 1.187500e+00 -3.000000e+00 0.000000e+00
4.342507e-04 1.772828e-04 3.500000e-02 1.212500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 3.500000e-02 1.237500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 3.500000e-02 1.262500e+00 -3.000000e+00 0.000000e+00
1.519266e-04 8.771484e-05 3.500000e-02 1.287500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 3.500000e-02 1.312500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 3.500000e-02 1.337500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 3.500000e-02 1.362500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 3.500000e-02 1.387500e+00 -3.000000e+00 0.000000e+00
1.036968e-04 5.986940e-05 3.500000e-02 1.412500e+00 -3.000000e+00 0.000000e+00
1.994446e-04 8.142293e-05 3.500000e-02 1.437500e+00 -3.000000e+00 0.000000e+00
1.907735e-04 7.788349e-05 3.500000e-02 1.462500e+00 -3.000000e+00 0.000000e+00
1.818883e-04 7.425558e-05 3.500000e-02 1.487500e+00 -3.000000e+00 0.000000e+00
1.708715e-04 6.975801e-05 3.500000e-02 1.512500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 3.500000e-02 1.537500e+00 -3.000000e+00 0.000000e+00
4.655325e-04 1.097275e-04 3.500000e-02 1.562500e+00 -3.000000e+00 0.000000e+00
1.704880e-03 2.052444e-04 3.500000e-02 1.587500e+00 -3.000000e+00 0.000000e+00
1.553661e-03 1.912437e-04 3.500000e-02 1.612499e+00 -3.000000e+00 0.000000e+00
